Name,Nation,Club,League,OVR,POT,Age,Height,Weight,Position,Reputation,Value,Wage
Sebastian Polter,Germany , FC Schalke 04 , Germany 1. Bundesliga (1),72,72,31,192cm,94kg,ST,1,£1.8M,£17K
Edison Penilla,Venezuela , Estudiantes de Merida , CONMEBOL Sudamericana,65,68,26,192cm,95kg,"CB, RWB, RB",1,£750K,£4.2K
Shane McEleney,Republic of Ireland , Derry City , Rep. Ireland Premier Division (1),58,58,31,192cm,98kg,CB,1,£130K,£500
Chuks Aneke,England , Charlton Athletic , England League One (3),65,65,29,191cm,100kg,ST,1,£650K,£3.4K
Orlando Mosquera,Panama , , ,66,69,27,191cm,100kg,GK,1,£750K,£500
Dennis Corozo,Ecuador , Delfin SC , CONMEBOL Sudamericana,61,61,34,191cm,104kg,GK,1,£150K,£1.8K
Evan Louro,United States , FC Cincinnati , USA Major League Soccer (1),60,64,26,191cm,104kg,GK,1,£240K,£950
Jack Wills,Scotland , St. Johnstone , Scotland Premiership (1),55,72,20,191cm,64kg,GK,1,£90K,£551
Jack MacKenzie,Scotland , Aberdeen , Scotland Premiership (1),63,72,22,191cm,65kg,"LB, LWB, CB",1,£925K,£1.4K
Cian Kavanagh,Republic of Ireland , Derry City , Rep. Ireland Premier Division (1),54,66,19,191cm,69kg,"ST, LM",1,£230K,£500
Alex Bass,England , Sunderland , England Championship (2),64,68,24,191cm,70kg,GK,1,£600K,£2.3K
Kurtis Guthrie,England , Livingston , Scotland Premiership (1),60,60,29,191cm,70kg,"ST, LW",1,£220K,£1.4K
Sam Barnes,England , Blackburn Rovers , England Championship (2),59,72,21,191cm,70kg,CB,1,£475K,£3.8K
Brendan Sarpong-Wiredu,England , Fleetwood Town , England League One (3),64,70,22,191cm,70kg,"CB, CDM, CM",1,£775K,£1.9K
Grant Hall,England , Rotherham United , England Championship (2),67,67,30,191cm,71kg,CB,1,£750K,£5.1K
Alex Vallejo,Spain , Stal Mielec , Poland Ekstraklasa (1),64,64,30,191cm,72kg,"CDM, CB",1,£450K,£951
Dael Fry,England , Middlesbrough , England Championship (2),73,77,25,191cm,72kg,CB,1,£3.4M,£18K
Elia Caprile,Italy , Bari , Italy Serie B (2),70,84,21,191cm,73kg,GK,1,£3.1M,£1.4K
Joe Lumley,England , Reading , England Championship (2),69,71,27,191cm,73kg,GK,1,£1.1M,£6.4K
Mike te Wierik,Netherlands , FC Emmen , Holland Eredivisie (1),67,67,30,191cm,73kg,CB,1,£750K,£2.9K
Sem Westerveld,Spain , AZ , Holland Eredivisie (1),64,77,20,191cm,73kg,GK,1,£1.1M,£1.1K
Richard Stearman,England , Derby County , England League One (3),63,63,35,191cm,73kg,CB,1,£110K,£1.1K
Ellis Simms,England , Everton , England Premier League (1),68,78,21,191cm,73kg,ST,1,£2.5M,£11K
Patrick Brough,England , Barrow , England League Two (4),62,62,26,191cm,74kg,"LB, LWB",1,£350K,£1.7K
Ashley Phillips,England , Blackburn Rovers , England Championship (2),60,82,17,191cm,74kg,CB,1,£190K,£500
Reeco Hackett-Fairchild,England , Portsmouth , England League One (3),64,67,24,191cm,74kg,"RM, LM",1,£725K,£2.5K
Bartlomiej Dragowski,Poland , Spezia , Italy Serie A (1),77,80,25,191cm,74kg,GK,1,£9.5M,£12K
Theo Borne,France , Angers SCO , France Ligue 1 (1),55,65,20,191cm,74kg,GK,1,£220K,£1.4K
Max Anchor,Canada , Vancouver Whitecaps , USA Major League Soccer (1),50,73,18,191cm,74kg,GK,1,£30K,£500
Adam Webster,England , Brighton & Hove Albion , England Premier League (1),77,78,27,191cm,75kg,CB,1,£9.5M,£49K
Armando Broja,Albania , Chelsea , England Premier League (1),75,83,20,191cm,75kg,ST,1,£11M,£57K
Sebastiano Luperto,Italy , Empoli , Italy Serie A (1),75,78,25,191cm,75kg,CB,1,£6M,£9.1K
Harlee Dean,England , Birmingham City , England Championship (2),67,67,31,191cm,75kg,CB,1,£625K,£9.3K
Ryan McGowan,Australia , St. Johnstone , Scotland Premiership (1),67,67,33,191cm,75kg,"CB, CDM",1,£450K,£2.4K
Koni De Winter,Belgium , Empoli , Italy Serie A (1),66,81,20,191cm,75kg,"CB, RB",1,£1.7M,£2K
Sven Nieuwpoort,Netherlands , Excelsior , Holland Eredivisie (1),65,65,29,191cm,75kg,CB,1,£550K,£1.8K
Federico Ravaglia,Italy , Bologna , Italy Serie A (1),65,75,22,191cm,75kg,GK,1,£1.3M,£4.2K
Benjamin Tahirovic,Bosnia Herzegovina , Roma , Italy Serie A (1),64,81,19,191cm,75kg,CM,1,£575K,£6K
Yentl Van Genechten,Belgium , Eupen , Belgium Pro League (1),64,72,22,191cm,75kg,"RB, RWB, CB",1,£1.1M,£2.1K
Markus Lackner,Austria , SV Ried , Austria Bundesliga (1),64,64,31,191cm,75kg,"CB, CDM",1,£350K,£2.4K
Jack Rose,England , Sutton United , England League Two (4),61,62,27,191cm,75kg,GK,1,£250K,£1.3K
Noe Sow,France , Pau FC , France Ligue 2 (2),61,68,23,191cm,75kg,CB,1,£550K,£750
Joshua Kayode,Republic of Ireland , Milton Keynes Dons , England League One (3),62,69,22,191cm,75kg,ST,1,£725K,£2K
Gabriel Mutombo,France , FC Botoani , Romania Liga I (1),63,66,26,191cm,75kg,CB,1,£500K,£2.1K
Jari Vlak,Netherlands , FC Emmen , Holland Eredivisie (1),66,70,24,191cm,75kg,"CDM, CM",1,£1000K,£2.1K
Umut Nayir,Turkey , Umraniyespor , Turkey S√ºper Lig (1),69,69,29,191cm,75kg,ST,1,£1.3M,£7.3K
Dayne St. Clair,Canada , Minnesota United FC , USA Major League Soccer (1),71,77,25,191cm,75kg,GK,1,£2.1M,£3.6K
Thierry Latty-Fairweather,England , Burton Albion , England League One (3),55,68,19,191cm,75kg,"LWB, LB, RWB",1,£250K,£500
Atakan Karazor,Germany , VfB Stuttgart , Germany 1. Bundesliga (1),73,74,25,191cm,76kg,"CDM, CM, CB",1,£2.9M,£15.5K
Fabian Kunze,Germany , Hannover 96 , Germany 2. Bundesliga (2),71,76,24,191cm,76kg,"CDM, CM",1,£2.3M,£12.5K
Steven Caulker,Sierra Leone , Wigan Athletic , England Championship (2),70,70,30,191cm,76kg,CB,2,£1.2M,£5.7K
Kai Eisele,Germany , Karlsruher SC , Germany 2. Bundesliga (2),64,65,27,191cm,76kg,GK,1,£450K,£2.4K
Christophe Diedhiou,Senegal , Quevilly Rouen Metropole , France Ligue 2 (2),64,64,34,191cm,76kg,CB,1,£170K,£1.3K
Luis Zarate,Paraguay , Olimpia Asuncion , CONMEBOL Libertadores,63,71,22,191cm,76kg,CB,1,£900K,£3K
Kayne Bonnevie,France , Olympique Lyonnais , France Ligue 1 (1),61,75,21,191cm,76kg,GK,1,£650K,£3.7K
Dean Lyness,England , St Patrick's Athletic , Rep. Ireland Premier Division (1),60,60,31,191cm,76kg,GK,1,£150K,£500
Timon Weiner,Germany , Holstein Kiel , Germany 2. Bundesliga (2),60,65,23,191cm,76kg,GK,1,£275K,£1.7K
Raphael Eyongo,Netherlands , Excelsior , Holland Eredivisie (1),59,70,19,191cm,76kg,"ST, CAM",1,£450K,£750
Rhys Bennett,England , Rochdale , England League Two (4),60,60,31,191cm,76kg,CB,1,£150K,£1.8K
Samuele Massolo,Italy , Palermo , Italy Serie B (2),63,67,26,191cm,76kg,GK,1,£475K,£800
Rory Feely,Republic of Ireland , Barrow , England League Two (4),58,60,25,191cm,76kg,"RB, CB",1,£210K,£1.4K
Lewis Temple,Republic of Ireland , Shelbourne , Rep. Ireland Premier Division (1),51,61,17,191cm,76kg,CB,1,£100K,£500
Ibrahim Sangare,Ivory Coast , PSV , Holland Eredivisie (1),81,86,24,191cm,77kg,"CDM, CM",2,£32M,£17.5K
Kortney Hause,England , Watford , England Championship (2),73,75,27,191cm,77kg,CB,1,£2.9M,£27.5K
Oliver McBurnie,Scotland , Sheffield United , England Championship (2),72,74,26,191cm,77kg,ST,1,£2.6M,£20K
Sam Surridge,England , Nottingham Forest , England Premier League (1),71,77,24,191cm,77kg,ST,1,£2.7M,£29.5K
Charlie Cresswell,England , Millwall , England Championship (2),70,84,20,191cm,77kg,CB,1,£3.2M,£5.1K
Bobby Thomas,England , Barnsley , England League One (3),66,74,21,191cm,77kg,CB,1,£1.6M,£2.4K
Harry Lewis,England , Bradford City , England League Two (4),65,71,24,191cm,77kg,GK,1,£825K,£2.9K
Paudie O'Connor,Republic of Ireland , Lincoln City , England League One (3),65,67,25,191cm,77kg,CB,1,£725K,£2.4K
Thomas Hasal,Canada , Vancouver Whitecaps , USA Major League Soccer (1),64,72,23,191cm,77kg,GK,1,£1000K,£1.1K
Conor Wilkinson,Republic of Ireland , Walsall , England League Two (4),62,62,27,191cm,77kg,"ST, RM",1,£400K,£3K
Chris Brady,United States , Chicago Fire FC , USA Major League Soccer (1),61,76,18,191cm,77kg,GK,1,£600K,£500
Frederik Heiselberg,Denmark , FC Midtjylland , Denmark Superliga (1),59,74,19,191cm,77kg,ST,1,£475K,£2.5K
Aaron Ramsdale,England , Arsenal , England Premier League (1),83,86,24,191cm,77kg,GK,1,£35M,£61K
Zach Jeacock,England , Birmingham City , England Championship (2),58,68,21,191cm,77kg,GK,1,£350K,£2.3K
Jose Gonzalez,Venezuela , , ,57,69,19,191cm,77kg,CB,1,£325K,£500
Thomas Williams,United States , Orlando City SC , USA Major League Soccer (1),53,73,18,191cm,77kg,"CB, LB",1,£220K,£500
Sebastian Banozic,Sweden , BK Hacken , Sweden Allsvenskan (1),54,68,19,191cm,77kg,GK,1,£200K,£500
Davide Djily Diaw,Italy , Modena , Italy Serie B (2),71,71,30,191cm,78kg,ST,1,£1.7M,£3K
Josep Martinez,Spain , Genoa , Italy Serie B (2),71,75,24,191cm,78kg,GK,1,£1.9M,£2K
Stephen Welsh,Scotland , Celtic , Scotland Premiership (1),69,74,22,191cm,78kg,CB,1,£1.7M,£16K
Jeffrey de Lange,Netherlands , Go Ahead Eagles , Holland Eredivisie (1),67,72,24,191cm,78kg,GK,1,£1.1M,£1.9K
Italo,Brazil , Santa Clara , Portugal Primeira Liga (1),65,78,20,191cm,78kg,"CB, LB",1,£1.5M,£1.1K
Adrian Benedyczak,Poland , Parma , Italy Serie B (2),65,75,21,191cm,78kg,"ST, RM, LM",1,£1.5M,£1.1K
Lloyd Jones,England , Cambridge United , England League One (3),65,68,26,191cm,78kg,CB,1,£750K,£2K
Dan Sweeney,England , Stevenage , England League Two (4),65,65,28,191cm,78kg,CB,1,£550K,£2.5K
Zeno Van Den Bosch,Belgium , Antwerp , Belgium Pro League (1),63,77,19,191cm,78kg,CB,1,£975K,£1.9K
Marco Moreno,Spain , Atletico de Madrid , Spain Primera Division (1),62,74,21,191cm,78kg,CB,1,£825K,£4.6K
Shkelqim Demhasaj,Kosovo , Grasshopper Club Zurich , Switzerland Super League (1),61,62,26,191cm,78kg,ST,1,£350K,£2.4K
Kieran O'Hara,Republic of Ireland , Colchester United , England League Two (4),61,63,26,191cm,78kg,GK,1,£275K,£1.9K
William Clem,Denmark , FC Kobenhavn , Denmark Superliga (1),61,78,18,191cm,78kg,CDM,1,£275K,£900
Dario Ramos,Spain , CA Osasuna , Spain Primera Division (1),60,70,22,191cm,78kg,GK,1,£425K,£2.2K
Benjamin Kanuric,Austria , Arminia Bielefeld , Germany 2. Bundesliga (2),60,75,19,191cm,78kg,"CM, CAM",1,£525K,£1.5K
Frank Lehmann,Germany , SV Elversberg , Germany 3. Liga (3),60,60,33,191cm,78kg,GK,1,£120K,£500
Mike Eerdhuijzen,Netherlands , Sparta Rotterdam , Holland Eredivisie (1),66,75,22,191cm,78kg,CB,1,£1.6M,£2.4K
Ilija Vukotic,Montenegro , Boavista , Portugal Primeira Liga (1),66,73,23,191cm,78kg,"CM, CDM",1,£1.5M,£3.5K
Simon Graves,Denmark , Palermo , Italy Serie B (2),67,74,23,191cm,78kg,CB,1,£1.7M,£1.4K
Kennedy Boateng,Togo , Santa Clara , Portugal Primeira Liga (1),72,75,25,191cm,78kg,CB,1,£2.5M,£4.3K
Ahmed Hassan,Egypt , Alanyaspor , Turkey S√ºper Lig (1),73,73,29,191cm,78kg,ST,1,£2.7M,£18K
Marash Kumbulla,Albania , Roma , Italy Serie A (1),75,80,22,191cm,78kg,CB,1,£7M,£34.5K
Fedde Leysen,Belgium , PSV , Holland Eredivisie (1),59,74,19,191cm,78kg,CB,1,£450K,£1.2K
Nectarios Triantis,Australia , Central Coast Mariners , Australia A-League (1),58,72,19,191cm,78kg,CB,1,£400K,£500
Sef Van Damme,Belgium , Zulte Waregem , Belgium Pro League (1),58,69,19,191cm,78kg,GK,1,£350K,£650
Mateusz Hewelt,Poland , Tranmere Rovers , England League Two (4),58,60,25,191cm,78kg,GK,1,£180K,£1.7K
Oskar Wojcik,Poland , Cracovia , Poland Ekstraklasa (1),57,68,19,191cm,78kg,CB,1,£300K,£800
Paul Bourdelle,France , Grenoble Foot 38 , France Ligue 2 (2),57,68,21,191cm,78kg,GK,1,£275K,£551
Nigel van Haveren,Netherlands , Vitesse , Holland Eredivisie (1),56,73,19,191cm,78kg,GK,1,£100K,£750
Harvey Griffiths,England , Wolverhampton Wanderers , England Premier League (1),55,73,18,191cm,78kg,CM,1,£120K,£2.9K
Rodrigo Becao,Brazil , Udinese , Italy Serie A (1),76,79,26,191cm,79kg,CB,1,£8M,£14.5K
Pedro Gallese,Peru , Orlando City SC , USA Major League Soccer (1),74,74,32,191cm,79kg,GK,1,£2.5M,£5.3K
Shaun Rooney,Scotland , Fleetwood Town , England League One (3),67,69,26,191cm,79kg,"RB, RWB",1,£1000K,£3.3K
Myenty Abena,Suriname , Ferencvarosi TC , Rest of World,67,69,27,191cm,79kg,"CB, RB",1,£975K,£6.3K
Tongo Doumbia,Mali , Western United FC , Australia A-League (1),66,66,33,191cm,79kg,"CDM, CM",1,£375K,£1.1K
Ben Heneghan,England , Sheffield Wednesday , England League One (3),65,65,28,191cm,79kg,CB,1,£550K,£3.3K
Shamal George,England , Livingston , Scotland Premiership (1),64,68,24,191cm,79kg,GK,1,£600K,£1.1K
Jayden Stockley,England , Fleetwood Town , England League One (3),63,63,28,191cm,79kg,ST,1,£450K,£2.5K
Tom Parkes,England , Livingston , Scotland Premiership (1),63,63,30,191cm,79kg,CB,1,£350K,£1.4K
Soren Reddemann,Germany , Hallescher FC , Germany 3. Liga (3),63,67,26,191cm,79kg,CB,1,£525K,£1.1K
Sam McClelland,Northern Ireland , Barrow , England League Two (4),61,75,20,191cm,79kg,"CB, RB",1,£675K,£1.1K
Abdoulaye Cissoko,France , Seattle Sounders , USA Major League Soccer (1),60,66,22,191cm,79kg,CB,1,£325K,£1K
Godberg Cooper,Italy , Chindia Targovite , Romania Liga I (1),60,65,25,191cm,79kg,ST,1,£325K,£1K
Shane Blaney,Republic of Ireland , Motherwell , Scotland Premiership (1),60,65,23,191cm,79kg,CB,1,£300K,£951
Marin Karamarko,Croatia , Hartberg , Austria Bundesliga (1),62,67,24,191cm,79kg,CB,1,£500K,£1.3K
Duplexe Tchamba,Cameroon , Casa Pia , Portugal Primeira Liga (1),64,70,24,191cm,79kg,CB,1,£750K,£1.1K
Formose Mendy,Senegal , Amiens SC , France Ligue 2 (2),65,75,21,191cm,79kg,"CB, RWB",1,£1.4M,£1.2K
Luis Canga,Ecuador , , ,68,71,27,191cm,79kg,CB,1,£1.2M,£500
Antonio Carlos,Brazil , Orlando City SC , USA Major League Soccer (1),70,70,29,191cm,79kg,CB,1,£1.2M,£4.3K
Federico Rasmussen,Argentina , Godoy Cruz , Argentina Primera Division (1),71,71,30,191cm,79kg,"CB, LB",1,£1.4M,£6K
Okay Yokuslu,Turkey , West Bromwich Albion , England Championship (2),74,74,28,191cm,79kg,"CDM, CM",1,£3.3M,£25.5K
Perr Schuurs,Netherlands , Torino , Italy Serie A (1),76,83,22,191cm,79kg,CB,1,£12.5M,£27.5K
Ciaran Kelly,Republic of Ireland , Bradford City , England League Two (4),59,63,24,191cm,79kg,CB,1,£250K,£2.3K
Bartosz Klebaniuk,Poland , PogoD Szczecin , Poland Ekstraklasa (1),58,72,20,191cm,79kg,GK,1,£375K,£751
Aday Ercan,Germany , Borussia Dortmund II , Germany 3. Liga (3),57,64,22,191cm,79kg,CDM,1,£275K,£600
Jackson Conway,United States , Atlanta United FC , USA Major League Soccer (1),52,63,20,191cm,79kg,ST,1,£160K,£951
Adrien Rabiot,France , Juventus , Italy Serie A (1),82,82,27,191cm,80kg,"CM, LM",2,£29M,£110K
Nicolo Casale,Italy , Lazio , Italy Serie A (1),78,84,24,191cm,80kg,CB,1,£18M,£33.5K
Christoph Kramer,Germany , Borussia M'gladbach , Germany 1. Bundesliga (1),78,78,31,191cm,80kg,"CDM, CAM",2,£9M,£25K
Malick Thiaw,Germany , Milan , Italy Serie A (1),76,84,21,191cm,80kg,CB,1,£14M,£30.5K
Enzo Marteiro,Brazil , Flamengo , CONMEBOL Libertadores,74,74,30,191cm,80kg,GK,1,£2.7M,£16K
Gaston Olveira,Uruguay , Olimpia Asuncion , CONMEBOL Libertadores,73,74,29,191cm,80kg,GK,1,£2.3M,£12K
Jordan Torunarigha,Germany , Gent , Belgium Pro League (1),73,77,25,191cm,80kg,"CB, LB",1,£3.4M,£14K
Michal Helik,Poland , Huddersfield Town , England Championship (2),71,72,26,191cm,80kg,CB,1,£1.7M,£11K
Alex Ferrari,Italy , Cremonese , Italy Serie A (1),70,71,28,191cm,80kg,"CB, RB",1,£1.4M,£6.5K
Rodrigo Guth,Brazil , Fortuna Sittard , Holland Eredivisie (1),68,75,21,191cm,80kg,CB,1,£2M,£3.7K
Marco Curto,Italy , Sudtirol , Italy Serie B (2),67,74,23,191cm,80kg,"RB, CB",1,£1.7M,£1K
Charlie Mulgrew,Scotland , Dundee United , Scotland Premiership (1),67,67,36,191cm,80kg,"CB, CM",1,£160K,£1.7K
Borja Lopez,Spain , Zulte Waregem , Belgium Pro League (1),67,67,28,191cm,80kg,CB,1,£800K,£4.5K
Lasha Dvali,Georgia , APOEL Nicosia FC , Rest of World,66,67,27,191cm,80kg,CB,1,£775K,£6.3K
Jordan Archer,Scotland , Queens Park Rangers , England Championship (2),66,67,29,191cm,80kg,GK,1,£650K,£6.8K
Mathias Ross,Denmark , Galatasaray , Turkey S√ºper Lig (1),66,75,21,191cm,80kg,CB,1,£1.6M,£9.3K
Matheus Babi,Brazil , Santa Clara , Portugal Primeira Liga (1),66,71,25,191cm,80kg,ST,1,£1.1M,£2.1K
Marian Huja,Portugal , Petrolul Ploieti , Romania Liga I (1),65,75,23,191cm,80kg,CB,1,£1.3M,£1.6K
Eoghan O'Connell,Republic of Ireland , Wrexham , Rest of World,65,66,27,191cm,80kg,CB,1,£650K,£5.4K
Paul Huntington,England , Carlisle United , England League Two (4),65,65,34,191cm,80kg,CB,1,£210K,£3K
Omar Beckles,Grenada , Leyton Orient , England League Two (4),65,65,30,191cm,80kg,CB,1,£525K,£3.6K
Liam Kitching,England , Barnsley , England League One (3),65,72,22,191cm,80kg,CB,1,£1.2M,£2.6K
James Belshaw,England , Bristol Rovers , England League One (3),64,64,31,191cm,80kg,GK,1,£350K,£1.8K
Marius Adamonis,Lithuania , Lazio , Italy Serie A (1),64,67,25,191cm,80kg,GK,1,£550K,£5.9K
Alex Mitchell,England , St. Johnstone , Scotland Premiership (1),64,74,20,191cm,80kg,CB,1,£1.1M,£1.2K
Piotr Parzyszek,Poland , CD Leganes , Spain Segunda Division (2),64,64,28,191cm,80kg,ST,1,£550K,£3K
Eoin Toal,Northern Ireland , Bolton Wanderers , England League One (3),63,70,23,191cm,80kg,CB,1,£800K,£2K
Slobodan Tedic,Serbia , Barnsley , England League One (3),63,70,22,191cm,80kg,ST,1,£875K,£2.5K
Gaby Jean,France , FC Annecy , France Ligue 2 (2),63,72,22,191cm,80kg,CB,1,£900K,£901
Nikolas Agrafiotis,Serbia , Excelsior , Holland Eredivisie (1),63,71,22,191cm,80kg,ST,1,£975K,£1.5K
Marek Janssen,Germany , SV Meppen , Germany 3. Liga (3),62,65,25,191cm,80kg,ST,1,£475K,£650
Mihai Roman,Romania , FC Botoani , Romania Liga I (1),62,62,30,191cm,80kg,ST,1,£350K,£2.2K
Diego Segovia,Uruguay , Independiente , Argentina Primera Division (1),61,73,22,191cm,80kg,GK,1,£650K,£1.4K
Jakob Tannander,Sweden , IK Sirius , Sweden Allsvenskan (1),61,73,22,191cm,80kg,GK,1,£650K,£500
Ulrich Donovan Ewolo,Cameroon , Zhejiang Professional FC , China Super League (1),61,62,26,191cm,80kg,"RM, ST",1,£350K,£1.8K
Lewis Schouten,Netherlands , AZ , Holland Eredivisie (1),59,78,18,191cm,80kg,"CDM, CM",1,£475K,£500
Javi Cendon,Spain , UD Las Palmas , Spain Segunda Division (2),60,70,21,191cm,80kg,GK,1,£425K,£701
Sam Graham,England , Rochdale , England League Two (4),60,69,22,191cm,80kg,CB,1,£475K,£1.6K
Nathan Tjoe-A-On,Netherlands , Excelsior , Holland Eredivisie (1),64,73,20,191cm,80kg,LB,1,£1.1M,£1.1K
Lukas Gutlbauer,Austria , Wolfsberger AC , Austria Bundesliga (1),64,71,21,191cm,80kg,GK,1,£925K,£1.7K
Daniel Bielica,Poland , Gornik Zabrze , Poland Ekstraklasa (1),64,69,23,191cm,80kg,GK,1,£650K,£1.1K
Marcus Sandberg,Sweden , HamKam Fotball , Norway Eliteserien (1),65,65,31,191cm,80kg,GK,1,£450K,£901
Kacper Tobiasz,Poland , Legia Warszawa , Poland Ekstraklasa (1),66,78,19,191cm,80kg,GK,1,£1.6M,£901
Paolo Ghiglione,Italy , Cremonese , Italy Serie A (1),69,70,25,191cm,80kg,"RM, RB",1,£1.5M,£5.5K
Sory Kaba,Guinea , Cardiff City , England Championship (2),69,69,27,191cm,80kg,ST,1,£1.4M,£15.5K
Ivan Marquez,Spain , NEC Nijmegen , Holland Eredivisie (1),70,71,28,191cm,80kg,CB,1,£1.4M,£6K
Radu Dragusin,Romania , Genoa , Italy Serie B (2),70,83,20,191cm,80kg,CB,1,£3.2M,£1.9K
Bruno Wilson,Portugal , Vizela , Portugal Primeira Liga (1),73,78,25,191cm,80kg,CB,1,£3.6M,£4.4K
Marco Silvestri,Italy , Udinese , Italy Serie A (1),79,79,31,191cm,80kg,GK,1,£11M,£14.5K
Pau Torres,Spain , Villarreal CF , Spain Primera Division (1),83,87,25,191cm,80kg,CB,2,£40.5M,£38.5K
Kacper Lepczynski,Poland , ZagBbie Lubin , Poland Ekstraklasa (1),56,68,21,191cm,80kg,CB,1,£300K,£1.1K
James Ball,England , Rochdale , England League Two (4),58,59,26,191cm,80kg,"CM, CAM",1,£210K,£2K
Dorian Ciezkowski,Poland , Cremonese , Italy Serie A (1),51,58,21,191cm,80kg,GK,1,£90K,£851
Odilon Kossounou,Ivory Coast , Bayer 04 Leverkusen , Germany 1. Bundesliga (1),76,84,21,191cm,81kg,"CB, RB",1,£14M,£25.5K
Rasmus Nicolaisen,Denmark , Toulouse FC , France Ligue 1 (1),75,80,25,191cm,81kg,CB,1,£6.5M,£14.5K
Daniel Bachmann,Austria , Watford , England Championship (2),72,72,28,191cm,81kg,GK,1,£1.7M,£21K
Michel Vlap,Netherlands , FC Twente , Holland Eredivisie (1),71,74,25,191cm,81kg,"CAM, CM",1,£2.2M,£7.6K
Keaton Parks,United States , New York City FC , USA Major League Soccer (1),71,76,25,191cm,81kg,"CDM, CM",1,£2.3M,£4.5K
Brad Stuver,United States , Austin FC , USA Major League Soccer (1),69,69,31,191cm,81kg,GK,1,£850K,£2.8K
Dries Wouters,Belgium , KV Mechelen , Belgium Pro League (1),69,74,25,191cm,81kg,"CDM, CB, CM",1,£1.7M,£5.7K
Marcos Ledesma,Argentina , Central Cordoba , Argentina Primera Division (1),69,74,25,191cm,81kg,GK,1,£1.5M,£4.2K
Amor Layouni,Tunisia , Western Sydney Wanderers , Australia A-League (1),67,67,29,191cm,81kg,"RM, LM",1,£900K,£3.4K
George Hirst,England , Ipswich Town , England League One (3),67,73,23,191cm,81kg,ST,1,£1.5M,£4.4K
Thorsten Mahrer,Austria , Austria Klagenfurt , Austria Bundesliga (1),67,67,32,191cm,81kg,CB,1,£600K,£3.5K
Hakeem Odoffin,England , Rotherham United , England Championship (2),65,67,24,191cm,81kg,CDM,1,£750K,£3.3K
Carljohan Eriksson,Finland , FC Nordsjaelland , Denmark Superliga (1),64,67,27,191cm,81kg,GK,1,£525K,£2K
Berto Horreo,Spain , Real Oviedo , Spain Segunda Division (2),63,73,22,191cm,81kg,GK,1,£850K,£1.3K
Mahmoud Abunada, , NG - FA , Free Agents League,63,73,22,191cm,81kg,GK,1,£850K,£1.9K
Joel Monteiro,Portugal , BSC Young Boys , Switzerland Super League (1),61,66,23,191cm,81kg,ST,1,£450K,£3.2K
Maxim Gullit,Netherlands , SC Cambuur , Holland Eredivisie (1),60,73,21,191cm,81kg,"LB, CB",1,£525K,£950
Emilian Metu,Austria , Austria Klagenfurt , Austria Bundesliga (1),60,71,19,191cm,81kg,"CM, LM",1,£475K,£1K
Hou Sen,China PR , Beijing Guoan , China Super League (1),62,62,33,191cm,81kg,GK,1,£190K,£2.3K
Mykola Kukharevych,Ukraine , Hibernian , Scotland Premiership (1),63,70,21,191cm,81kg,ST,1,£875K,£1.5K
Krzysztof Kaminski,Poland , WisBa PBock , Poland Ekstraklasa (1),64,64,31,191cm,81kg,GK,1,£350K,£1.1K
Danilo Quaranta,Italy , Ascoli , Italy Serie B (2),64,69,25,191cm,81kg,CB,1,£700K,£1K
Viktor Boone,Belgium , Union Saint-Gilloise , Belgium Pro League (1),64,68,24,191cm,81kg,CB,1,£675K,£2.7K
Aleksandar Susnjar,Australia , Macarthur FC , Australia A-League (1),65,65,27,191cm,81kg,CB,1,£600K,£1.2K
Marko Scepovic,Serbia , CD Lugo , Spain Segunda Division (2),66,66,31,191cm,81kg,ST,1,£650K,£2.7K
Marko Ilic,Serbia , Colorado Rapids , USA Major League Soccer (1),69,75,24,191cm,81kg,GK,1,£1.6M,£2.3K
Andres Reyes,Colombia , New York Red Bulls , USA Major League Soccer (1),69,77,22,191cm,81kg,CB,1,£2.6M,£3K
Denis Zakaria,Switzerland , Chelsea , England Premier League (1),80,85,25,191cm,81kg,"CDM, CM",2,£31M,£85K
Jose Fonte,Portugal , LOSC Lille , France Ligue 1 (1),80,80,38,191cm,81kg,CB,3,£4.2M,£23.5K
Raphael Varane,France , Manchester United , England Premier League (1),85,85,29,191cm,81kg,CB,3,£40.5M,£150K
Emmanuel Adegboyega,Republic of Ireland , Drogheda United , Rep. Ireland Premier Division (1),57,69,18,191cm,81kg,CB,1,£325K,£500
Lee Won Woo,Korea Republic , Daegu FC , Korea K League 1 (1),51,64,19,191cm,81kg,CB,1,£120K,£550
Isak Hagen Aalberg,Norway , Kristiansund BK , Norway Eliteserien (1),52,75,17,191cm,81kg,CB,1,£60K,£500
Oskar Lodzinski,Poland , WisBa PBock , Poland Ekstraklasa (1),51,62,18,191cm,81kg,GK,1,£100K,£500
Ugurcan Cakir,Turkey , Trabzonspor , Turkey S√ºper Lig (1),79,81,26,191cm,82kg,GK,1,£15M,£28K
Michael Keane,England , Everton , England Premier League (1),77,77,29,191cm,82kg,CB,2,£8M,£34.5K
Emmanuel Winchester,Nigeria , AFC Richmond , Rest of World,76,78,26,191cm,82kg,CB,1,£7.5M,£13K
Mark Travers,Republic of Ireland , AFC Bournemouth , England Premier League (1),73,77,23,191cm,82kg,GK,1,£3.1M,£19.5K
Christoph Klarer,Austria , Fortuna Dusseldorf , Germany 2. Bundesliga (2),72,78,22,191cm,82kg,CB,1,£3.1M,£12K
